GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HouseHoldApp,services,SentimentService,42,0,0,0,8,0,3,0,3,0
HouseHoldApp,analysis,Analyser,0,73,3,5,0,18,3,3,0,2
